Title,Date_of_Release,Genre,Crew_dir,Cast_stars,Plot_summary,Age_of_content,Votes,ImDBRating
Shershaah,2021,"Action, Biography, Drama            ",Vishnuvardhan,"Sidharth Malhotra, Kiara Advani, Shiv Panditt, Pranay Pachauri","This is a story of a PVC awardee brave Indian soldier - Capt. Vikram Batra, who shot to fame and became a household name during the Kargil War in 1999. His indomitable spirit and his unflinching courage in chasing the Pakistani soldiers out of Indian territory contributed immensely in India finally winning the Kargil War in 1999.",0,90482,8.9
Gangs of Wasseypur,2012,"Action, Crime, Drama            ",Anurag Kashyap,"Manoj Bajpayee, Richa Chadha, Nawazuddin Siddiqui, Tigmanshu Dhulia","A clash between Sultan and Shahid Khan leads to the expulsion of Khan from Wasseypur, and ignites a deadly blood feud spanning three generations.",9,89184,8.2
"Swades: We, the People",2004,Drama            ,Ashutosh Gowariker,"Shah Rukh Khan, Gayatri Joshi, Kishori Ballal, Smit Sheth",A successful Indian scientist returns to an Indian village to take his nanny to America with him and in the process rediscovers his roots.,17,86790,8.2
Andhadhun,2018,"Crime, Drama, Music            ",Sriram Raghavan,"Ayushmann Khurrana, Tabu, Radhika Apte, Anil Dhawan","A series of mysterious events change the life of a blind pianist, who must now report a crime that he should technically know nothing of.",3,81805,8.2
Bajrangi Bhaijaan,2015,"Action, Adventure, Comedy            ",Kabir Khan,"Salman Khan, Harshaali Malhotra, Nawazuddin Siddiqui, Kareena Kapoor",An Indian man with a magnanimous heart takes a young mute Pakistani girl back to her homeland to reunite her with her family.,6,80584,8.0
Barfi!,2012,"Comedy, Drama, Romance            ","Anurag Basu', ""","Ranbir Kapoor, Priyanka Chopra Jonas, Ileana D'Cruz, Saurabh Shukla""",Three young people learn that love can neither be defined nor contained by society's definition of normal and abnormal.,9,78573,8.1
Munna Bhai M.B.B.S.,2003,"Comedy, Drama            ",Rajkumar Hirani,"Sanjay Dutt, Arshad Warsi, Gracy Singh, Sunil Dutt",A gangster sets out to fulfill his father's dream of becoming a doctor.,18,77614,8.1
Chak De! India,2007,"Drama, Family, Sport            ",Shimit Amin,"Shah Rukh Khan, Vidya Malvade, Sagarika Ghatge, Shilpa Shukla","Kabir Khan, the coach of the Indian Women's National Hockey Team, dreams of making his all-girls team emerge victorious against all odds.",14,77253,8.2
Drishyam,2015,"Crime, Drama, Mystery            ",Nishikant Kamat,"Ajay Devgn, Shriya Saran, Tabu, Rajat Kapoor","Desperate measures are taken by a man who tries to save his family from the dark side of the law, after they commit an unexpected crime.",6,76424,8.2
A Wednesday,2008,"Action, Crime, Drama            ",Neeraj Pandey,"Anupam Kher, Naseeruddin Shah, Virendra Saxena, Mahesh Kanual",A retiring police officer reminisces about the most astounding day of his career. About a case that was never filed but continues to haunt him in his memories - the case of a man and a Wednesday.,13,76194,8.1
Zindagi Na Milegi Dobara,2011,"Comedy, Drama            ",Zoya Akhtar,"Hrithik Roshan, Farhan Akhtar, Abhay Deol, Katrina Kaif",Three friends decide to turn their fantasy vacation into reality after one of their friends gets engaged.,10,72435,8.2
Coolie No. 1,2020,"Action, Comedy, Romance            ",avid Dhawan,"Varun Dhawan, Sara Ali Khan, Paresh Rawal, Javed Jaffrey","After being insulted by a rich businessman named Rosario, pandit Jai Kishen teaches him a lesson by getting his daughter married to Raju - a Coolie posing as a millionaire.",1,71825,3.4
Dil Chahta Hai,2001,"Comedy, Drama, Romance            ",Farhan Akhtar,"Aamir Khan, Saif Ali Khan, Akshaye Khanna, Preity Zinta","Three inseparable childhood friends are just out of college. Nothing comes between them - until they each fall in love, and their wildly different approaches to relationships creates tension.",20,69478,8.1
Dilwale Dulhania Le Jayenge,1995,"Drama, Romance            ",Aditya Chopra,"Shah Rukh Khan, Kajol, Amrish Puri, Farida Jalal","When Raj meets Simran in Europe, it isn't love at first sight but when Simran moves to India for an arranged marriage, love makes its presence felt.",26,66233,8.1
Kal Ho Naa Ho,2003,"Comedy, Drama, Musical            ",Nikkhil Advani,"Preity Zinta, Shah Rukh Khan, Saif Ali Khan, Jaya Bachchan","Naina, an introverted, perpetually depressed girl's life changes when she meets Aman. But Aman has a secret of his own which changes their lives forever. Embroiled in all this is Rohit, Naina's best friend who conceals his love for her.",18,66073,7.9
Bhaag Milkha Bhaag,2013,"Biography, Drama, Sport            ",Rakeysh Omprakash Mehra,"Farhan Akhtar, Sonam Kapoor, Pawan Malhotra, Art Malik",The truth behind the ascension of Milkha Singh who was scarred because of the India-Pakistan partition.,8,64528,8.2
Queen,2013,"Adventure, Comedy, Drama            ",Vikas Bahl,"Kangana Ranaut, Rajkummar Rao, Lisa Haydon, Jeffrey Ho",A Delhi girl from a traditional family sets out on a solo honeymoon after her marriage gets cancelled.,8,62841,8.2
Hera Pheri,2000,"Action, Comedy, Crime            ",Priyadarshan,"Akshay Kumar, Sunil Shetty, Paresh Rawal, Tabu","Three unemployed men look for answers to all their money problems - but when their opportunity arrives, will they know what to do with it?",21,61731,8.2
Kahaani,2012,"Mystery, Thriller            ",Sujoy Ghosh,"Vidya Balan, Parambrata Chattopadhyay, Indraneil Sengupta, Nawazuddin Siddiqui","A pregnant woman's search for her missing husband takes her from London to Kolkata, but everyone she questions denies having ever met him.",9,60174,8.1
Gunday,2014,"Action, Drama, Musical            ",Ali Abbas Zafar,"Ranveer Singh, Arjun Kapoor, Priyanka Chopra Jonas, Irrfan Khan","The lives of Calcutta's most powerful Gunday, Bikram and Bala, changes when Nandita enters it. Then a counter-force takes charge and a thriller unfolds.",7,58509,2.4
Ghajini,2008,"Action, Drama, Mystery            ",A.R. Murugadoss,"Aamir Khan, Asin Thottumkal, Jiah Khan, Pradeep Singh Rawat",A short-term memory loss patient sets out on his journey to avenge the death of his beloved girl.,13,58455,7.3
Hotel Mumbai,2018,"Action, Drama, History            ",Anthony Maras,"Dev Patel, Armie Hammer, Nazanin Boniadi, Anupam Kher",The true story of the Taj Hotel terrorist attack in Mumbai. Hotel staff risk their lives to keep everyone safe as people make unthinkable sacrifices to protect themselves and their families.,3,57690,7.6
Laxmii,2020,"Action, Comedy, Horror            ","s:Lawrence Raghavendra, Balakrishnan Thevar","Akshay Kumar, Kiara Advani, Sharad Kelkar, Ashwini Kalsekar","Aasif visits his wife's parents' house and happens to go to a ground that is supposedly haunted. However, he is soon possessed by the spirit of a transgender who is out for revenge.",1,55361,2.4
Baby,2015,"Action, Thriller            ",Neeraj Pandey,"Akshay Kumar, Danny Denzongpa, Rana Daggubati, Taapsee Pannu","An elite counter-intelligence unit learns of a plot, masterminded by a maniacal madman. With the clock ticking, it's up to them to track the terrorists' international tentacles and prevent them from striking at the heart of India.",6,55133,8.0
Airlift,2016,"Drama, History            ",Raja Menon,"Akshay Kumar, Nimrat Kaur, Kumud Mishra, Prakash Belawadi","When Iraq invades Kuwait in August 1990, a callous Indian businessman becomes the spokesperson for more than 170,000 stranded countrymen.",5,54899,8.0
OMG: Oh My God!,2012,"Comedy, Drama, Fantasy            ",Umesh Shukla,"Paresh Rawal, Akshay Kumar, Mithun Chakraborty, Mahesh Manjrekar",A shopkeeper takes God to court when his shop is destroyed by an earthquake.,9,54862,8.1
Special Chabbis,2013,"Crime, Drama, Thriller            ",Neeraj Pandey,"Akshay Kumar, Anupam Kher, Manoj Bajpayee, Jimmy Sheirgill",A gang of con-men rob prominent rich businessmen and politicians by posing as C.B.I and income tax officers.,8,53541,8.0
Sholay,1975,"Action, Adventure, Comedy            ",Ramesh Sippy,"Sanjeev Kumar, Dharmendra, Amitabh Bachchan, Amjad Khan","After his family is murdered by a notorious and ruthless bandit, a former police officer enlists the services of two outlaws to capture the bandit.",46,53485,8.2
The White Tiger,2021,"Crime, Drama            ",Ramin Bahrani,"Adarsh Gourav, Rajkummar Rao, Priyanka Chopra Jonas, Vedant Sinha",An ambitious Indian driver uses his wit and cunning to escape from poverty and rise to the top. An epic journey based on the New York Times bestseller.,0,53427,7.1
The Lunchbox,2013,"Drama, Romance            ",Ritesh Batra,"Irrfan Khan, Nimrat Kaur, Nawazuddin Siddiqui, Lillete Dubey",A mistaken delivery in Mumbai's famously efficient lunchbox delivery system connects a young housewife to an older man in the dusk of his life as they build a fantasy world together through notes in the lunchbox.,8,53125,7.8
Jab Tak Hai Jaan,2012,"Drama, Romance            ",Yash Chopra,"Shah Rukh Khan, Katrina Kaif, Anushka Sharma, Anupam Kher",A woman is made to realize that her prayers and sacrifice to save her boyfriend's life may have led him to a fate worse than death.,9,52913,6.7
Haider,2014,"Action, Crime, Drama            ",Vishal Bhardwaj,"Shahid Kapoor, Tabu, Shraddha Kapoor, Kay Kay Menon","A young man returns to Kashmir after his father's disappearance to confront his uncle, whom he suspects of playing a role in his father's fate.",7,52152,8.1
Andaz Apna Apna,1994,"Action, Comedy, Romance            ",Rajkumar Santoshi,"Aamir Khan, Salman Khan, Raveena Tandon, Karisma Kapoor",Two slackers competing for the affections of an heiress inadvertently become her protectors from an evil criminal.,27,51612,8.1
Chennai Express,2013,"Action, Adventure, Comedy            ",Rohit Shetty,"Deepika Padukone, Shah Rukh Khan, Sathyaraj, Nikitin Dheer",A man heading towards Rameshwaram via Chennai express to immerse his late grandfather's ashes unwillingly gets caught amidst goons after helping their boss's daughter and them board the train.,8,51297,6.1
Don 2,2011,"Action, Crime, Thriller            ",Farhan Akhtar,"Shah Rukh Khan, Florian Lukas, Om Puri, Priyanka Chopra Jonas","Don turns himself in and escapes with Vardhaan from prison, following which he recruits a team to steal currency printing plates from a bank in Berlin.",10,51127,7.1
Veer-Zaara,2004,"Drama, Family, Musical            ",Yash Chopra,"Shah Rukh Khan, Preity Zinta, Rani Mukerji, Kirron Kher","Veer-Zaara is a saga of love, separation, courage and sacrifice. A love story that is an inspiration and will remain a legend forever.",17,50960,7.8
Sanju,2018,"Biography, Comedy, Drama            ",Rajkumar Hirani,"Ranbir Kapoor, Paresh Rawal, Manisha Koirala, Vicky Kaushal","Sanju is a biopic of the controversial life of actor Sanjay Dutt: his film career, jail sentence and personal life.",3,50611,7.7
Uri: The Surgical Strike,2019,"Action, Drama, War            ",Aditya Dhar,"Vicky Kaushal, Paresh Rawal, Mohit Raina, Yami Gautam","Indian army special forces execute a covert operation, avenging the killing of fellow army men at their base by a terrorist group.",2,50418,8.3
Kuch Kuch Hota Hai,1998,"Comedy, Drama, Musical            ",Karan Johar,"Shah Rukh Khan, Kajol, Rani Mukerji, Sana Saeed","During their college years, Anjali was in love with her best-friend Rahul, but he had eyes only for Tina. Years later, Rahul and the now-deceased Tina's eight-year-old daughter attempts to reunite her father and Anjali.",23,50223,7.6
Jab We Met,2007,"Comedy, Drama, Romance            ",Imtiaz Ali,"Shahid Kapoor, Kareena Kapoor, Tarun Arora, Dara Singh",A depressed wealthy businessman finds his life changing after he meets a spunky and care-free young woman.,14,50015,7.9
Kabhi Khushi Kabhie Gham...,2001,"Drama, Musical, Romance            ",Karan Johar,"Shah Rukh Khan, Kajol, Amitabh Bachchan, Hrithik Roshan","After marrying a poor woman, rich Rahul is disowned by his father and moves to London to build a new life. Years later, his now grown up little brother Rohan embarks on a mission to bring Rahul back home and reunite the family again.",20,47024,7.4
M.S. Dhoni: The Untold Story,2016,"Biography, Drama, Sport            ",Neeraj Pandey,"Sushant Singh Rajput, Kiara Advani, Anupam Kher, Disha Patani",The untold story of Mahendra Singh Dhoni's journey from ticket collector to trophy collector - the world-cup-winning captain of the Indian Cricket Team.,5,46757,7.9
Rab Ne Bana Di Jodi,2008,"Comedy, Drama, Music            ",Aditya Chopra,"Shah Rukh Khan, Anushka Sharma, Vinay Pathak, M.K. Raina","A breathtaking, goose flesh igniting, awe inspiring love journey of an ordinary man Suri and his 'total opposite' love Taani.",13,45796,7.2
Lage Raho Munna Bhai,2006,"Comedy, Drama, Romance            ",Rajkumar Hirani,"Sanjay Dutt, Arshad Warsi, Vidya Balan, Boman Irani",Munna Bhai embarks on a journey with Mahatma Gandhi in order to fight against a corrupt property dealer.,15,45122,8.0
Dhoom:3,2013,"Action, Crime, Thriller            ",Vijay Krishna Acharya,"Aamir Khan, Katrina Kaif, Abhishek Bachchan, Uday Chopra","When Sahir, a circus entertainer trained in magic and acrobatics, turns into a thief to take down a corrupt bank in Chicago that ruined his father, Indian officers Jai and Ali are called to catch him.",8,44466,5.4
Race 3,2018,"Action, Crime, Thriller            ","""    Director:Remo D'Souza""","Anil Kapoor, Salman Khan, Bobby Deol, Jacqueline Fernandez",Relationships and loyalties of a criminal family planning its next big heist are tested when some shocking revelations strike them.,3,44285,1.9
Fan,2016,"Action, Drama, Thriller            ",Maneesh Sharma,"Shah Rukh Khan, Carolina Main, Sayani Gupta, Shriya Pilgaonkar","Gaurav develops an obsession with a movie star who looks just like him. He goes to Bombay to meet his idol, but he refuses to grant him five minutes of his time. Gaurav is enraged and plots to destroy his hero.",5,43982,7.0
Udaan,2010,Drama            ,Vikramaditya Motwane,"Rajat Barmecha, Ronit Roy, Manjot Singh, Ram Kapoor","Expelled from his school, a 16-year old boy returns home to his abusive and oppressive father.",11,43817,8.2
Sultan,2016,"Action, Drama, Sport            ",Ali Abbas Zafar,"Salman Khan, Kubbra Sait, Anushka Sharma, Randeep Hooda","Sultan is a classic underdog tale about a wrestler's journey, looking for a comeback by defeating all odds.",5,43127,7.0
Chhichhore,2019,"Comedy, Drama, Romance            ",Nitesh Tiwari,"Sushant Singh Rajput, Shraddha Kapoor, Varun Sharma, Prateik","A tragic incident forces Anirudh, a middle-aged man, to take a trip down memory lane and reminisce his college days along with his friends, who were labelled as losers.",2,43068,8.3
Raees,2017,"Action, Crime, Drama            ",Rahul Dholakia,"Raj Arjun, Shubham Chintamani, Shubham Tukaram, Yug",A bootlegger sets out to improve his community as a promising leader but falls in a political trap.,4,42240,6.8
Pink,2016,"Crime, Drama, Thriller            ",Aniruddha Roy Chowdhury,"Taapsee Pannu, Amitabh Bachchan, Kirti Kulhari, Andrea Tariang","When three young women are implicated in a crime, a retired lawyer steps forward to help them clear their names.",5,42146,8.1
Rockstar,2011,"Drama, Music, Romance            ",Imtiaz Ali,"Ranbir Kapoor, Nargis Fakhri, Shammi Kapoor, Kumud Mishra","Janardhan Jakhar chases his dreams of becoming a big Rock star, during which he falls in love with Heer.",10,41755,7.7
Vicky Donor,2012,"Comedy, Romance            ",Shoojit Sircar,"Ayushmann Khurrana, Yami Gautam, Annu Kapoor, Dolly Ahluwalia","A man is brought in by an infertility doctor to supply him with his sperm, where he becomes the biggest sperm donor for his clinic.",9,41385,7.8
Yeh Jawaani Hai Deewani,2013,"Drama, Musical, Romance            ",Ayan Mukherjee,"Ranbir Kapoor, Deepika Padukone, Aditya Roy Kapoor, Kalki Koechlin","Kabir and Naina bond during a trekking trip. Before Naina can express herself, Kabir leaves India to pursue his career. They meet again years later, but he still cherishes his dreams more than bonds.",8,41011,7.2
Om Shanti Om,2007,"Action, Comedy, Drama            ",Farah Khan,"Shah Rukh Khan, Deepika Padukone, Arjun Rampal, Kirron Kher","In the 1970s, Om, an aspiring actor, is murdered, but is immediately reincarnated into the present day. He attempts to discover the mystery of his demise and find Shanti, the love of his previous life.",14,40949,6.7
Talaash,2012,"Crime, Drama, Mystery            ","s:Reema Kagti, Priyamvada Narayanan","Aamir Khan, Kareena Kapoor, Rani Mukerji, Nawazuddin Siddiqui","Inspector Surjan Shekhawat, who is dealing with a depressing past, has to investigate a high profile murder case, deal with his crumbling marriage and use the help and solace of a prostitute by the name of Rosie.",9,40862,7.2
Devdas,2002,"Drama, Musical, Romance            ",Sanjay Leela Bhansali,"Shah Rukh Khan, Aishwarya Rai Bachchan, Madhuri Dixit, Jackie Shroff","After his wealthy family prohibits him from marrying the woman he is in love with, Devdas Mukherjee's life spirals further and further out of control as he takes up alcohol and a life of vice to numb the pain.",19,40271,7.6
Ra.One,2011,"Action, Adventure, Sci-Fi            ",Anubhav Sinha,"Shah Rukh Khan, Arjun Rampal, Kareena Kapoor, Shahana Goswami","When the titular antagonist of an action game takes on physical form, it's only the game's less powerful protagonist who can save his creator's family.",10,39711,4.7
Dear Zindagi,2016,"Drama, Romance            ",Gauri Shinde,"Alia Bhatt, Shah Rukh Khan, Kunal Kapoor, Priyanka Moodley","Kaira is a budding cinematographer in search of a perfect life. Her encounter with Jug, an unconventional thinker, helps her gain a new perspective on life. She discovers that happiness is all about finding comfort in life's imperfections.",5,37889,7.5
Tumbbad,2018,"Drama, Fantasy, Horror            ","s:Rahi Anil Barve, Anand Gandhi, Adesh Prasad","Sohum Shah, Jyoti Malshe, Anita Date, Ronjini Chakraborty",A mythological story about a goddess who created the entire universe. The plot revolves around the consequences when humans build a temple for her first-born.,3,36251,8.3
Don,2006,"Action, Crime, Thriller            ",Farhan Akhtar,"Shah Rukh Khan, Priyanka Chopra Jonas, Arjun Rampal, Isha Koppikar","Vijay is recruited by a police officer to masquerade as his lookalike Don, the leader of an international gang of smugglers. Things go wrong when the officer is killed and Vijay is left to fend for himself.",15,35725,7.2
Happy New Year,2014,"Action, Comedy, Crime            ",Farah Khan,"Shah Rukh Khan, Deepika Padukone, Abhishek Bachchan, Anupam Kher",A gang of amateur dancers takes part in a dancing competition to avenge their personal vendetta.,7,35526,5.0
Gully Boy,2019,"Drama, Music, Romance            ",Zoya Akhtar,"Vijay Varma, Nakul Roshan Sahdev, Ranveer Singh, Vijay Raaz",A coming-of-age story based on the lives of street rappers in Mumbai.,2,35479,8.0
Ludo,2020,"Action, Comedy, Crime            ",Anurag Basu,"Pankaj Tripathi, Abhishek Bachchan, Rajkummar Rao, Fatima Sana Shaikh","From a resurfaced sex tape to a rogue suitcase of money, four wildly different stories overlap at the whims of fate, chance and one eccentric criminal.",1,35393,7.6
Kai po che!,2013,"Drama, Sport            ",Abhishek Kapoor,"Amit Sadh, Sushant Singh Rajput, Rajkummar Rao, Amrita Puri",Three friends growing up in India at the turn of the millennium set out to open a training academy to produce the country's next cricket stars.,8,35189,7.8
English Vinglish,2012,"Comedy, Drama, Family            ",Gauri Shinde,"Sridevi, Adil Hussain, Mehdi Nebbou, Priya Anand","A quiet, sweet tempered housewife endures small slights from her well-educated husband and daughter every day because of her inability to speak and understand English.",9,34909,7.8
Paan Singh Tomar,2012,"Action, Biography, Crime            ",Tigmanshu Dhulia,"Irrfan Khan, Mahie Gill, Rajesh Abhay, Hemendra Dandotiya","The story of Paan Singh Tomar, an Indian athlete and seven-time national steeplechase champion who becomes one of the most feared dacoits in Chambal Valley after his retirement.",9,34825,8.2
Black,2005,Drama            ,Sanjay Leela Bhansali,"Amitabh Bachchan, Rani Mukerji, Shernaz Patel, Ayesha Kapoor","The cathartic tale of a young woman who can't see, hear or talk and the teacher who brings a ray of light into her dark world.",16,34138,8.2
Main Hoon Na,2004,"Action, Comedy, Drama            ",Farah Khan,"Shah Rukh Khan, Sushmita Sen, Sunil Shetty, Zayed Khan","An army major goes undercover as a college student. His mission is both professional and personal: to protect his general's daughter from a radical militant, and to find his estranged half-brother.",17,33815,7.0
Gunjan Saxena: The Kargil Girl,2020,"Action, Biography, Drama            ",Sharan Sharma,"Janhvi Kapoor, Pankaj Tripathi, Angad Bedi, Manav Vij",Inspired by the life of a fearless young officer who made history by becoming the first Indian female Air Force officer to fly in a combat zone during the 1999 Kargil War,1,33632,5.3
Toofaan,2021,"Action, Drama, Sport            ",Rakeysh Omprakash Mehra,"Farhan Akhtar, Hussain Dalal, Imran Rashid, Vijay Raaz",The story of a boxer and the struggles he faces on his journey to get to the national level competition.,0,33227,5.0
Talvar,2015,"Crime, Drama, Mystery            ",Meghna Gulzar,"Irrfan Khan, Konkona Sen Sharma, Neeraj Kabi, Sohum Shah",An experienced investigator confronts several conflicting theories about the perpetrators of a violent double homicide.,6,33169,8.2
Dilwale,2015,"Action, Comedy, Drama            ",Rohit Shetty,"Shah Rukh Khan, Kajol, Varun Dhawan, Kriti Sanon","The siblings of two estranged lovers fall for each other, unaware of the violent past that drove them apart.",6,33041,5.1
Bajirao Mastani,2015,"Action, Drama, History            ",Sanjay Leela Bhansali,"Ranveer Singh, Deepika Padukone, Priyanka Chopra Jonas, Tanvi Azmi","An account of the romance between the Maratha general, Baji Rao I and Mastani, princess of Bundelkhand.",6,32759,7.2
Anand,1971,"Drama, Musical            ",Hrishikesh Mukherjee,"Rajesh Khanna, Amitabh Bachchan, Sumita Sanyal, Ramesh Deo","The story of a terminally ill man who wishes to live life to the fullest before the inevitable occurs, as told by his best friend.",50,32703,8.2
Ek Tha Tiger,2012,"Action, Romance, Thriller            ",Kabir Khan,"Salman Khan, Katrina Kaif, Girish Karnad, Roshan Seth",India's top spy Tiger and his love Zoya battle the dark world of intelligence and espionage that forbids its soldiers from loving the enemy.,9,32638,5.5
Fanaa,2006,"Action, Drama, Romance            ",Kunal Kohli,"Aamir Khan, Kajol, Rishi Kapoor, Tabu",A sweet blind girl Zooni meets a flirty Rehan. She ignores her friends' warnings. It's her time to discover life. Is she making the right love choice?,15,31875,7.2
Jodhaa Akbar,2008,"Action, Drama, History            ",Ashutosh Gowariker,"Hrithik Roshan, Aishwarya Rai Bachchan, Sonu Sood, Poonam Sinha","A sixteenth century love story about a marriage of alliance that gave birth to true love between a great Mughal emperor, Akbar, and a Rajput princess, Jodha.",13,31279,7.6
Stree,2018,"Comedy, Horror            ",Amar Kaushik,"Rajkummar Rao, Shraddha Kapoor, Pankaj Tripathi, Aparshakti Khurana","In the small town of Chanderi, the menfolk live in fear of an evil spirit named ""Stree"" who abducts men in the night. Based on the urban legend of ""Nale Ba"" that went viral in Karnataka in the 1990s.",3,31150,7.6
Dabangg,2010,"Action, Comedy, Crime            ",Abhinav Kashyap,"Salman Khan, Sonakshi Sinha, Sonu Sood, Arbaaz Khan","A corrupt police officer faces challenges from his family, gangsters and politicians.",11,31039,6.2
Badhaai ho,2018,"Comedy, Drama            ",Amit Ravindernath Sharma,"Ayushmann Khurrana, Neena Gupta, Gajraj Rao, Sanya Malhotra",A man is embarrassed when he finds out his mother is pregnant.,3,30889,8.0
Raanjhanaa,2013,"Drama, Romance            ",Aanand L. Rai,"Dhanush, Sonam Kapoor, Mohd. Zeeshan Ayyub, Swara Bhaskar","Kundan, the son of a Hindu pundit, discovers that his childhood sweetheart Zoya loves city-bred Akram and wants to marry him. However, he persistently seeks to win her heart.",8,30871,7.6
Piku,2015,"Comedy, Drama            ",Shoojit Sircar,"Deepika Padukone, Amitabh Bachchan, Irrfan Khan, Moushumi Chatterjee","A quirky comedy about the relationship between a daughter and her aging father, whose eccentricities drive everyone crazy.",6,30425,7.6
Wake Up Sid,2009,"Comedy, Drama, Romance            ",Ayan Mukherjee,"Ranbir Kapoor, Konkona Sen Sharma, Supriya Pathak, Anupam Kher","The story of a lazy Mumbai college student who does absolutely nothing, with a turn of events will Sid realize his potential in this world and become a success in the fast-paced life of Mumbai.",12,29820,7.6
Dev.D,2009,"Comedy, Drama, Romance            ",Anurag Kashyap,"Abhay Deol, Mahie Gill, Kalki Koechlin, Dibyendu Bhattacharya","After breaking up with his childhood sweetheart, a young man finds solace in drugs. Meanwhile, a teenage girl is caught in the world of prostitution. Will they be destroyed, or will they find redemption?",12,29736,8.0
Bharat,2019,"Action, Comedy, Drama            ",Ali Abbas Zafar,"Salman Khan, Katrina Kaif, Sunil Grover, Tabu","At the cusp of India's birth as an Independent nation, a family makes an arduous journey to freedom at a cost. A young boy Bharat, makes a promise to his Father that he will keep his family together no matter what.",2,29469,4.9
Padmaavat,2018,"Drama, History, Romance            ",Sanjay Leela Bhansali,"Deepika Padukone, Ranveer Singh, Shahid Kapoor, Aditi Rao Hydari","Set in medieval Rajasthan, Queen Padmavati is married to a noble king and they live in a prosperous fortress with their subjects until an ambitious Sultan hears of Padmavati's beauty and forms an obsessive love for the Queen of Mewar.",3,29394,7.0
Kabir Singh,2019,"Action, Drama, Romance            ",Sandeep Reddy Vanga,"Shahid Kapoor, Kiara Advani, Nikita Dutta, Soham Majumdar","An exalted but short-fused surgeon plunges into a spiral of drugs, alcohol and rage after his intense relationship with his girlfriend turbulently ends.",2,29154,7.1
Mimi,2021,"Comedy, Drama            ","s:Rajesh Bhatia, Laxman Utekar","Kriti Sanon, Evelyn Edwards, Pankaj Tripathi, Sai Tamhankar",Mimi is introduced by Bhanu to an American couple as a surrogate in exchange for Rs 2 million. She decides to have the baby even when they change their mind and tells her parent that Bhanu is the father.,0,28507,8.1
Mohabbatein,2000,"Musical, Drama, Romance            ",Aditya Chopra,"Amitabh Bachchan, Shah Rukh Khan, Uday Chopra, Jugal Hansraj","A film about the battle between love and fear, between two stubborn men and their opposing beliefs and the outcome of the love stories of 3 couples.",21,28506,7.1
Aashiqui 2,2013,"Drama, Music, Musical            ",Mohit Suri,"Aditya Roy Kapoor, Shraddha Kapoor, Shaad Randhawa, Salil Acharya",Rahul loses his fans and fame due to alcoholism. But he then decides to turn a small time singer into a rising star.,8,27992,7.0
